instance_id,offensiveness,cleaned_text,cleaned_domain,text_with_domain,predicted_label,true_label,cross_entropy
193,0,"derek, george floyd’s murderer only got arrested because of international pressure. this man has been murdering people for years! this arrest is not justice #blacklivesmatters",blm,"blm derek, george floyd’s murderer only got arrested because of international pressure. this man has been murdering people for years! this arrest is not justice #blacklivesmatters",0,0,0.4281613230705261
208,1,"i have had racist shit happen to me as a brown picnicker my entire childhood in scotland (even when it was just me, my mum, my little sister), as a teen in princes st gardens, edinburgh, as a student in liverpool and manchester",blm,"blm i have had racist shit happen to me as a brown picnicker my entire childhood in scotland (even when it was just me, my mum, my little sister), as a teen in princes st gardens, edinburgh, as a student in liverpool and manchester",1,1,0.3404906988143921
641,1,and dianne feinstein! it is not time to be partisan here. clean the entire house and oust all these motherfuckers!,covid-19,covid-19 and dianne feinstein! it is not time to be partisan here. clean the entire house and oust all these motherfuckers!,1,1,0.3391844630241394
687,0,#trumpgenocide #trumpgopgenocide #trumpliesamericansdie he is tweeting a lot because of mass death to americans distracting you,covid-19,covid-19 #trumpgenocide #trumpgopgenocide #trumpliesamericansdie he is tweeting a lot because of mass death to americans distracting you,0,0,0.1926543414592743
729,0,minneapolis new york city los angeles washington dc buffalo turns out the real thugs are the police.,blm,blm minneapolis new york city los angeles washington dc buffalo turns out the real thugs are the police.,0,0,0.3636355698108673
760,1,stfu bitch,covid-19,covid-19 stfu bitch,1,1,0.3850996494293213
1115,0,what is the real story? :face_with_raised_eyebrow:#covid_19 #wwg1gwa,covid-19,covid-19 what is the real story? :face_with_raised_eyebrow:#covid_19 #wwg1gwa,0,0,0.11015791445970535
1207,0,i truly loathe mitch mcconnell.,covid-19,covid-19 i truly loathe mitch mcconnell.,0,0,0.6133918166160583
1408,0,"plz read the book ""the delectable negro"", how whites were engaged in the practice of eating their slaves during slavery. #blm #blackwomen #blacklivesmatter:raised_fist_medium-dark_skin_tone: #sandrabland #justiceforgeorgefloyd #tamirrice #protest…",blm,"blm plz read the book ""the delectable negro"", how whites were engaged in the practice of eating their slaves during slavery. #blm #blackwomen #blacklivesmatter:raised_fist_medium-dark_skin_tone: #sandrabland #justiceforgeorgefloyd #tamirrice #protest…",0,0,0.3943597972393036
1984,0,this young man did not even make it to the hospital. do not brag about numbers while people are dying. do not brag about numbers while children are dying.,covid-19,covid-19 this young man did not even make it to the hospital. do not brag about numbers while people are dying. do not brag about numbers while children are dying.,0,0,0.12449394166469574
2506,0,this!!!!!! #doublestandards,blm,blm this!!!!!! #doublestandards,0,0,0.2481595277786255
2617,0,americans are starving and you want to give people that hate us our hard earned money ?????,covid-19,covid-19 americans are starving and you want to give people that hate us our hard earned money ?????,0,0,0.1343747228384018
2620,0,loooool how are you so bad at a dance that comes with instructions:weary_face:,blm,blm loooool how are you so bad at a dance that comes with instructions:weary_face:,0,0,0.29450494050979614
2869,0,covid-19: inslee issues order to restart state's health care system kima,covid-19,covid-19 covid-19: inslee issues order to restart state's health care system kima,0,0,0.07650787383317947
3061,1,"you r the biggest piece of :pile_of_poo: on tv. how the hell can you actually sleep at night with all your crappy advice? how dare you even suggest we are overreacting. ""a lot of doctors"" feel ""the worry & the panic about coronavirus is going 2 b worse than the actual coronavirus for them""",covid-19,"covid-19 you r the biggest piece of :pile_of_poo: on tv. how the hell can you actually sleep at night with all your crappy advice? how dare you even suggest we are overreacting. ""a lot of doctors"" feel ""the worry & the panic about coronavirus is going 2 b worse than the actual coronavirus for them""",1,1,0.5375648736953735
3079,1,"decent #americans - those of us who love our families, our communities, our country - vastly outnumber the q-ball #maga #whitesupremacists. and we are standing by, but not standing back. the nightmare begins to end in 33 days... #presidentialdebate2020 #shutupman #debates",elections2020,"elections2020 decent #americans - those of us who love our families, our communities, our country - vastly outnumber the q-ball #maga #whitesupremacists. and we are standing by, but not standing back. the nightmare begins to end in 33 days... #presidentialdebate2020 #shutupman #debates",1,1,0.6108815670013428
3080,0,how convenient. fbi shuts down foia operation until at least march 30 over coronavirus panic via dumb wray! just another excuse to try to make it go away!,covid-19,covid-19 how convenient. fbi shuts down foia operation until at least march 30 over coronavirus panic via dumb wray! just another excuse to try to make it go away!,0,0,0.26947349309921265
3082,0,"what insights did you gain from the covid-19 liability legislation webinar w/ if you missed the live discussion, you can view the recording here.",covid-19,"covid-19 what insights did you gain from the covid-19 liability legislation webinar w/ if you missed the live discussion, you can view the recording here.",0,0,0.12551259994506836
3084,0,this is all bs everything i love is getting closed because of covid:pensive_face:,covid-19,covid-19 this is all bs everything i love is getting closed because of covid:pensive_face:,0,0,0.248478502035141
