instance_id,text,annotation task,number of annotations,lang,hard_label,split,soft_label.0,soft_label.1,other_info.domain,offensiveness,user_id,cleaned_text,cleaned_domain,community,text_with_domain,predicted_label,true_label,cross_entropy
7,<user> <user> <user> <user> <user> <user> <user> <user> Trump is in favor of what happened in Texas against Biden. The Republican Party as you knew it is gone. ANYONE WHO VOTED FOR TRUMP CAN NOW BE CONSIDERED A DOMESTIC TERRORIST!,offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,631,trump is in favor of what happened in texas against biden. the republican party as you knew it is gone. anyone who voted for trump can now be considered a domestic terrorist!,elections2020,0,elections2020 trump is in favor of what happened in texas against biden. the republican party as you knew it is gone. anyone who voted for trump can now be considered a domestic terrorist!,0,1,1.7715874910354614
169,😍THIS IS SO FUNNY!  😂🤣WATCH <user> MAKE A ASS/DONKEY OUT OF HIMSELF <url>,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,1,569,:smiling_face_with_heart-eyes:this is so funny! :face_with_tears_of_joy::rolling_on_the_floor_laughing:watch make a ass/donkey out of himself,elections2020,0,elections2020 :smiling_face_with_heart-eyes:this is so funny! :face_with_tears_of_joy::rolling_on_the_floor_laughing:watch make a ass/donkey out of himself,0,1,1.1022307872772217
174,"<user> <user> WE ARE NO LONGER MAILING OUR BALLOTS. HAND DELIVER! HAND DELIVER! HAND DELIVER! DO IT TODAY, AS THERE ARE FREEZING STORMS ON THE WAY AND WE DON'T WANT DEMOCRATS TO GET SICK! LEAVE THE LINES FOR THE IGNORANT BIGOTS HOW WILL BE IN LINE ON ELECTION DAY!",offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,683,"we are no longer mailing our ballots. hand deliver! hand deliver! hand deliver! do it today, as there are freezing storms on the way and we do not want democrats to get sick! leave the lines for the ignorant bigots how will be in line on election day!",elections2020,0,"elections2020 we are no longer mailing our ballots. hand deliver! hand deliver! hand deliver! do it today, as there are freezing storms on the way and we do not want democrats to get sick! leave the lines for the ignorant bigots how will be in line on election day!",0,1,1.4470714330673218
533,<user> <user> You hair is on fire because the President is kicking Covid's ass. Who's sad?,offensiveness detection,5,en,0,test,0.8,0.2,Covid-19,0,30,you hair is on fire because the president is kicking covid's ass. who is sad?,covid-19,0,covid-19 you hair is on fire because the president is kicking covid's ass. who is sad?,1,0,0.7705415487289429
564,"<user> The DNC got over a billion in donations, and you're looking for more?  Greedy bastards!",offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,683,"the dnc got over a billion in donations, and you are looking for more? greedy bastards!",elections2020,0,"elections2020 the dnc got over a billion in donations, and you are looking for more? greedy bastards!",0,1,0.7207940816879272
761,"This is America's left. Anti facist and #BlackLivesMatter type groups. They call Trump a fascist.  In the name of protest they: - Arson, loot and kill. - Beat up a men to death - Write free Palestine on walls  If you think it's only about #GeorgeFloyd, you may be wrong! <url>",offensiveness detection,5,en,0,test,0.6,0.4,BLM,1,255,"this is america's left. anti facist and #blacklivesmatter type groups. they call trump a fascist. in the name of protest they: - arson, loot and kill. - beat up a men to death - write free palestine on walls if you think it is only about #georgefloyd, you may be wrong!",blm,0,"blm this is america's left. anti facist and #blacklivesmatter type groups. they call trump a fascist. in the name of protest they: - arson, loot and kill. - beat up a men to death - write free palestine on walls if you think it is only about #georgefloyd, you may be wrong!",0,1,0.9172201752662659
823,you think shooting a snot rocket on that lady's birkenstocks in a Rue 21 is still unacceptable post-COVID?,offensiveness detection,5,en,0,test,1.0,0.0,Covid-19,0,30,you think shooting a snot rocket on that lady's birkenstocks in a rue 21 is still unacceptable post-covid?,covid-19,0,covid-19 you think shooting a snot rocket on that lady's birkenstocks in a rue 21 is still unacceptable post-covid?,1,0,1.0380096435546875
1406,<user> Appropriate.  Liberals are clowns.  <user>  #MAGA,offensiveness detection,5,en,1,test,0.0,1.0,Elections2020,1,683,appropriate. liberals are clowns. #maga,elections2020,0,elections2020 appropriate. liberals are clowns. #maga,0,1,1.7916556596755981
1710,The fact that Donald Trump thinks he is going to win back suburban women by shitting on someone's recovering addict son should put to bed any takes that he's a secret political genius.,offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,683,the fact that donald trump thinks he is going to win back suburban women by shitting on someone is recovering addict son should put to bed any takes that he is a secret political genius.,elections2020,0,elections2020 the fact that donald trump thinks he is going to win back suburban women by shitting on someone is recovering addict son should put to bed any takes that he is a secret political genius.,0,1,0.7674882411956787
2208,<user> No one in America believes you’re up this early in the morning. You’re a disgusting pathetic politician very selfish you should know better,offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,0,631,no one in america believes you are up this early in the morning. you are a disgusting pathetic politician very selfish you should know better,elections2020,0,elections2020 no one in america believes you are up this early in the morning. you are a disgusting pathetic politician very selfish you should know better,1,0,0.9551685452461243
