instance_id,offensiveness,cleaned_text,cleaned_domain,text_with_domain,predicted_label,true_label,cross_entropy
1074,1,"just stay the hell away from minneapolis, it is going to be chaos.",blm,"blm just stay the hell away from minneapolis, it is going to be chaos.",0,1,3.150320053100586
10201,1,waiting for ‘s move. is bad for america! #trump2020 #kag #4moreyears #chinajoebiden #crookedjoe #lyingjoebiden #lockhimup #liberalismisamentaldisease #democratsarecommunists,elections2020,elections2020 waiting for ‘s move. is bad for america! #trump2020 #kag #4moreyears #chinajoebiden #crookedjoe #lyingjoebiden #lockhimup #liberalismisamentaldisease #democratsarecommunists,0,1,1.8252570629119873
5881,1,"i have found my self stopping to smell the roses more often because of covid. taking more time to do the little things. peeing sitting down, shitting standing up",covid-19,"covid-19 i have found my self stopping to smell the roses more often because of covid. taking more time to do the little things. peeing sitting down, shitting standing up",0,1,0.7187412977218628
2957,1,another lie from this lying administration!,elections2020,elections2020 another lie from this lying administration!,0,1,2.433445692062378
9955,0,period trum is a clown,elections2020,elections2020 period trum is a clown,1,0,1.6803091764450073
9800,1,god dow demands more human sacrifices:enraged_face: #govdesatan #covid19 #florida,covid-19,covid-19 god dow demands more human sacrifices:enraged_face: #govdesatan #covid19 #florida,0,1,3.368795156478882
5545,0,"lifeguard, football player joe biden got 5 draft deferments for asthma, during vietnam. do not talk about bone spurs, you phony baloney.",elections2020,"elections2020 lifeguard, football player joe biden got 5 draft deferments for asthma, during vietnam. do not talk about bone spurs, you phony baloney.",1,0,1.7039223909378052
3262,0,i will choose over that racist any day :rolling_on_the_floor_laughing::hundred_points: they only people that are against trump are the people that rely on the tv for all of their information :man_facepalming_dark_skin_tone::broken_heart:,elections2020,elections2020 i will choose over that racist any day :rolling_on_the_floor_laughing::hundred_points: they only people that are against trump are the people that rely on the tv for all of their information :man_facepalming_dark_skin_tone::broken_heart:,1,0,0.8501811623573303
1941,1,excuse you???? black lives matter is not a damn selfie hashtag! are you good?!,blm,blm excuse you???? black lives matter is not a damn selfie hashtag! are you good?!,0,1,2.8931312561035156
10004,1,does trump refuse to steer the country out of its covid death spiral because a. it kills more blacks & hispanics b. he is incapable of leading so he covers for that by lying. i am sure it is both.,covid-19,covid-19 does trump refuse to steer the country out of its covid death spiral because a. it kills more blacks & hispanics b. he is incapable of leading so he covers for that by lying. i am sure it is both.,0,1,1.882716417312622
590,1,election???? more like erection!!!!!!! #elections2020,elections2020,elections2020 election???? more like erection!!!!!!! #elections2020,0,1,1.198958158493042
10141,1,joe biden is treasonous corrupt politician!!!,elections2020,elections2020 joe biden is treasonous corrupt politician!!!,0,1,0.8091315031051636
3003,0,trump was painted gold and you want to call biden the clown. that entire debate was a fucking joke,elections2020,elections2020 trump was painted gold and you want to call biden the clown. that entire debate was a fucking joke,1,0,2.0791430473327637
8773,1,i will not ask joe biden for it! he is incapable of helping anyone and he is as corrupt as any chinese operative!,elections2020,elections2020 i will not ask joe biden for it! he is incapable of helping anyone and he is as corrupt as any chinese operative!,0,1,2.7964515686035156
892,1,bruh was up with these monkeys snatching kids on bikes and stealing covid-19 samples lol,covid-19,covid-19 bruh was up with these monkeys snatching kids on bikes and stealing covid-19 samples lol,0,1,1.6041550636291504
10130,0,trump is bats!,covid-19,covid-19 trump is bats!,1,0,1.118736743927002
7768,0,we need a federal police force anyway...screw the states and localities,blm,blm we need a federal police force anyway...screw the states and localities,1,0,2.1696908473968506
3810,1,you are a naive fool,elections2020,elections2020 you are a naive fool,0,1,1.17779541015625
9639,0,"some morons said yes, they would be ok with 1m dying if only 50k were under 50!",covid-19,"covid-19 some morons said yes, they would be ok with 1m dying if only 50k were under 50!",1,0,1.8109393119812012
5163,1,racist nazi will change only after death,blm,blm racist nazi will change only after death,0,1,1.2943207025527954
