instance_id,text,annotation task,number of annotations,lang,hard_label,split,soft_label.0,soft_label.1,other_info.domain,offensiveness,user_id,cleaned_text,cleaned_domain,community
2,. <user> <user> <user> <user> <user> <user> #WeDontBuyHate this is powerful. Watch,offensiveness detection,5,en,0,test,1.0,0.0,BLM,0,633,. #wedontbuyhate this is powerful. watch,blm,3
4,<user> Stay away from children.,offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,272,stay away from children.,elections2020,3
15,"<user> Come on man. Listen Jack , okay here’s the deal... you have a hard enough time with the alphabet, let alone run a country😘✌️.",offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,1,64,"come on man. listen jack , okay here is the deal... you have a hard enough time with the alphabet, let alone run a country:face_blowing_a_kiss::victory_hand:.",elections2020,3
30,"<user> <user> Hey bruh,  that's  not cool. Democrats  play dirty but we should  play smarter. #MAGA",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,272,"hey bruh, that is not cool. democrats play dirty but we should play smarter. #maga",elections2020,3
36,"hey #Austin store owners need to order new store signs that post ""no shoes, no shirt, no mask- no service"" #atx #austintx cc <user> <user> <user> <user> <user> #COVID19 #COVID19SWEDEN",offensiveness detection,5,en,0,test,1.0,0.0,Covid-19,0,546,"hey #austin store owners need to order new store signs that post ""no shoes, no shirt, no mask- no service"" #atx #austintx cc #covid19 #covid19sweden",covid-19,3
39,"<user> For you and your Chinese overlords, 操你",offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,0,21,"for you and your chinese overlords, 操你",elections2020,3
45,<user> <user> We lost count of how many white men have killed you George  i cant breathe floyd makes number what?,offensiveness detection,5,en,0,test,1.0,0.0,BLM,0,546,we lost count of how many white men have killed you george i cannot breathe floyd makes number what?,blm,3
46,"""NEW COVID-19 ADVISOR IS A FRAUD AND NOT AN EXPERT!  Researchers &amp; doctors at Stanford's Med School say Alas is NOT AN EXPERT IN DISEASES. In fact, he """"peddles falsehoods.""""  ABC NEWS 9/10/20 and Business Insider, 9/29/20""",offensiveness detection,5,en,0,test,0.6,0.4,Covid-19,0,515,"""new covid-19 advisor is a fraud and not an expert! researchers & doctors at stanford's med school say alas is not an expert in diseases. in fact, he """"peddles falsehoods."""" abc news 9/10/20 and business insider, 9/29/20""",covid-19,3
47,Good job <user> 😉,offensiveness detection,5,en,0,test,1.0,0.0,Covid-19,0,82,good job :winking_face:,covid-19,3
48,<user> Dear God.,offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,0,21,dear god.,elections2020,3
53,<user> Some people talk much but say little,offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,1,60,some people talk much but say little,elections2020,3
66,Looter Shot Dead by Pawn Shop Owner in George Floyd #Minneapolis  Riots Midwestern city rocked by anarchy <url>,offensiveness detection,5,en,0,test,0.8,0.2,BLM,1,64,looter shot dead by pawn shop owner in george floyd #minneapolis riots midwestern city rocked by anarchy,blm,3
79,Because he has no intelligent thoughts!,offensiveness detection,5,en,1,test,0.4,0.6,Covid-19,0,515,because he has no intelligent thoughts!,covid-19,3
81,<user> <user> No he doesn’t. It’s GOP propaganda. Another reason why we need to vote for <user>,offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,60,no he does not. it is gop propaganda. another reason why we need to vote for,elections2020,3
93,"Consider how long and what it took—including video of the last 8 minutes and 46 seconds of #GeorgeFloyd’s life and weeks of national and international protest—just to get the #NFL to simply admit: ""We were wrong."" #NFLapology #blacklivesmatter #takeaknee #ColinKaepernick",offensiveness detection,5,en,0,test,1.0,0.0,BLM,0,21,"consider how long and what it took—including video of the last 8 minutes and 46 seconds of #georgefloyd’s life and weeks of national and international protest—just to get the #nfl to simply admit: ""we were wrong."" #nflapology #blacklivesmatter #takeaknee #colinkaepernick",blm,3
106,<user> The GOP Chairwoman  doesn't know who the current president is? I'm going to blame Ronna McDaniel for the Covid crisis. Sounds like she's dumb enough to believe that.,offensiveness detection,5,en,1,test,0.4,0.6,Covid-19,0,21,the gop chairwoman does not know who the current president is? i am going to blame ronna mcdaniel for the covid crisis. sounds like she is dumb enough to believe that.,covid-19,3
106,<user> The GOP Chairwoman  doesn't know who the current president is? I'm going to blame Ronna McDaniel for the Covid crisis. Sounds like she's dumb enough to believe that.,offensiveness detection,5,en,1,test,0.4,0.6,Covid-19,1,515,the gop chairwoman does not know who the current president is? i am going to blame ronna mcdaniel for the covid crisis. sounds like she is dumb enough to believe that.,covid-19,3
110,<user> Five democratic governors killed more people from covid than almost everyone else combined!,offensiveness detection,5,en,0,test,1.0,0.0,Covid-19,0,82,five democratic governors killed more people from covid than almost everyone else combined!,covid-19,3
122,UK cell towers torched amid bogus conspiracy theories that link 5G with coronavirus <url>,offensiveness detection,5,en,0,test,0.8,0.2,Covid-19,0,515,uk cell towers torched amid bogus conspiracy theories that link 5g with coronavirus,covid-19,3
127,"Need I say more? Trolling the Democrats is by far one of my favorite pastimes, looks like <user> does to! Except <user> does it with class and He trolls like an expert! Go get em President Trump! Screw those Anti-American Dems! They are worthless and total losers! #MAGA",offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,0,21,"need i say more? trolling the democrats is by far one of my favorite pastimes, looks like does to! except does it with class and he trolls like an expert! go get them president trump! screw those anti-american dems! they are worthless and total losers! #maga",elections2020,3
136,""" <user> WHY DON'T YOU DOUBLE YOUR HUSTLE AND MAKE UP TO 10,000$ WHILE STAYING AT HOME TO AVOID COVID 19  """"ASK ME HOW""""""",offensiveness detection,5,en,0,test,1.0,0.0,Covid-19,0,515,""" why do not you double your hustle and make up to 10,000$ while staying at home to avoid covid 19 """"ask me how""""""",covid-19,3
140,"For some, White People Don’t Matter  Understand that <url>",offensiveness detection,5,en,1,test,0.4,0.6,BLM,1,64,"for some, white people do not matter understand that",blm,3
