instance_id,offensiveness,cleaned_text,cleaned_domain,text_with_domain,predicted_label,true_label,cross_entropy
81,1,no he does not. it is gop propaganda. another reason why we need to vote for,elections2020,elections2020 no he does not. it is gop propaganda. another reason why we need to vote for,0,1,2.4171080589294434
150,1,and then continue legislative constipation because the senate is locked by traitors to the people of this country. there is almost half the country who would happily leave their neighbors high and dry without batting an eye.,elections2020,elections2020 and then continue legislative constipation because the senate is locked by traitors to the people of this country. there is almost half the country who would happily leave their neighbors high and dry without batting an eye.,0,1,1.8280467987060547
158,1,is that all you have? the racist label?,elections2020,elections2020 is that all you have? the racist label?,0,1,0.8755757808685303
244,1,why is an open nazi supporter?,elections2020,elections2020 why is an open nazi supporter?,0,1,1.9533014297485352
349,1,"in trumps own words. the only racist on the stage was you joe. antifa is not an ""idea"" joe.",elections2020,"elections2020 in trumps own words. the only racist on the stage was you joe. antifa is not an ""idea"" joe.",0,1,0.777942955493927
453,1,"trump gets free airtime for campaign rallies most days he does those awful ""briefings"". needs to fight for equal time without the shitshow.",elections2020,"elections2020 trump gets free airtime for campaign rallies most days he does those awful ""briefings"". needs to fight for equal time without the shitshow.",0,1,0.7951791286468506
570,1,all lies....these are anarchists looking for a fight....antifa...& immature soy boy man-bun wearing brats....who just want to start trouble & who will be destroying minority communities just because....it has nothing to do with george floyd. but you already know this...,blm,blm all lies....these are anarchists looking for a fight....antifa...& immature soy boy man-bun wearing brats....who just want to start trouble & who will be destroying minority communities just because....it has nothing to do with george floyd. but you already know this...,0,1,0.7512112855911255
580,1,that is a ridiculous statement.,elections2020,elections2020 that is a ridiculous statement.,0,1,2.0565052032470703
581,0,manger said she put one lady out talking about she probably already had #covid19 people are so selfish,covid-19,covid-19 manger said she put one lady out talking about she probably already had #covid19 people are so selfish,1,0,1.0540680885314941
610,1,the distribution of wealth is the real issue in this country and it has been for decades. change my mind. #protests2020 #dontvote #richvspoor #wearefucked #pickourowncandidate #epsteindidntkillhimself #illuminatiisreal,blm,blm the distribution of wealth is the real issue in this country and it has been for decades. change my mind. #protests2020 #dontvote #richvspoor #wearefucked #pickourowncandidate #epsteindidntkillhimself #illuminatiisreal,0,1,1.9468576908111572
711,0,nasty stuff,blm,blm nasty stuff,1,0,0.7094430923461914
728,1,"the democrats have hated president trump since the night he was elected. 12/2016 vanity fair: democrats are paving the way to impeach donald trump, 6/7/17 al green & brad sherman drafted articles of impeachment. 7/17 sherman, 8/17 cohen introduced articles of impeachment etc.",elections2020,"elections2020 the democrats have hated president trump since the night he was elected. 12/2016 vanity fair: democrats are paving the way to impeach donald trump, 6/7/17 al green & brad sherman drafted articles of impeachment. 7/17 sherman, 8/17 cohen introduced articles of impeachment etc.",0,1,2.3034255504608154
