instance_id,offensiveness,cleaned_text,cleaned_domain,text_with_domain,predicted_label,true_label,cross_entropy
5,1,"no super-spreader accusations as people party in the streets from the msm. and just like that, covid ends. the left is a party of liers, racists, cheaters, looters, arsonist, rioters and hypocrites.",covid-19,"covid-19 no super-spreader accusations as people party in the streets from the msm. and just like that, covid ends. the left is a party of liers, racists, cheaters, looters, arsonist, rioters and hypocrites.",0,1,0.8296585083007812
7,1,trump is in favor of what happened in texas against biden. the republican party as you knew it is gone. anyone who voted for trump can now be considered a domestic terrorist!,elections2020,elections2020 trump is in favor of what happened in texas against biden. the republican party as you knew it is gone. anyone who voted for trump can now be considered a domestic terrorist!,0,1,1.1442312002182007
14,1,"gee. thanks, dick.",covid-19,"covid-19 gee. thanks, dick.",0,1,2.4496045112609863
15,1,"come on man. listen jack , okay here is the deal... you have a hard enough time with the alphabet, let alone run a country:face_blowing_a_kiss::victory_hand:.",elections2020,"elections2020 come on man. listen jack , okay here is the deal... you have a hard enough time with the alphabet, let alone run a country:face_blowing_a_kiss::victory_hand:.",0,1,1.3765180110931396
28,1,"reality. super! #blacklivesmatter is a racist black hate group, soros’ target for manipulation. they are now fully allied with antifa and just as worthy to be designated as a domestic terrorists. who was looting, burning, and murdering in the riots? antifa? blm inspired blacks",blm,"blm reality. super! #blacklivesmatter is a racist black hate group, soros’ target for manipulation. they are now fully allied with antifa and just as worthy to be designated as a domestic terrorists. who was looting, burning, and murdering in the riots? antifa? blm inspired blacks",0,1,1.3017487525939941
32,0,how dare you tweet crap during george floyd’s funeral!,blm,blm how dare you tweet crap during george floyd’s funeral!,1,0,0.9109004735946655
35,1,"wait, is this the clown who said that the riots would not stop after the elections? whose husband announced that he was the husband of the next president? who is fooling the east indian people into believing that she is one of them? dumped jamaica now?",elections2020,"elections2020 wait, is this the clown who said that the riots would not stop after the elections? whose husband announced that he was the husband of the next president? who is fooling the east indian people into believing that she is one of them? dumped jamaica now?",0,1,1.1055092811584473
39,1,"for you and your chinese overlords, 操你",elections2020,"elections2020 for you and your chinese overlords, 操你",0,1,2.575650930404663
68,1,"with great italian americans like fiorello la guardia in us history, why would anyone want a racist like columbus to be the symbol of a nationality? hell, pick garibaldi who at least supported the anti-slavery movement in the us.",blm,"blm with great italian americans like fiorello la guardia in us history, why would anyone want a racist like columbus to be the symbol of a nationality? hell, pick garibaldi who at least supported the anti-slavery movement in the us.",0,1,1.2585763931274414
73,0,just say you are racist and go you literally have nothing more to say just over and over,elections2020,elections2020 just say you are racist and go you literally have nothing more to say just over and over,1,0,0.864996075630188
88,1,told the proud boys to stand by then tells his supports to go into the polls and watch. sounds like a call for intimidation and terrorism. if you are still undecided you are a racist. if your are undecided and say but & you are racist.,elections2020,elections2020 told the proud boys to stand by then tells his supports to go into the polls and watch. sounds like a call for intimidation and terrorism. if you are still undecided you are a racist. if your are undecided and say but & you are racist.,0,1,1.0684915781021118
137,1,how stupid do you feel back your legacy is in shambles. the corruption and traitorous deals with chins make you look foolish and prove to anyone awake your administration was not scandal free.,elections2020,elections2020 how stupid do you feel back your legacy is in shambles. the corruption and traitorous deals with chins make you look foolish and prove to anyone awake your administration was not scandal free.,0,1,0.9371387958526611
145,0,"- trump time to ban coats the science is clear!!! biden what is your stand on coats? if you do not win this election biden, when the logic of trump gov't covid science is similar to this sort of logic, your country is ruined my friend. trump is a joke",elections2020,"elections2020 - trump time to ban coats the science is clear!!! biden what is your stand on coats? if you do not win this election biden, when the logic of trump gov't covid science is similar to this sort of logic, your country is ruined my friend. trump is a joke",1,0,0.7542786598205566
161,1,"crap! stop the bs. he was paid large sums of money & used this as a springboard to later fame & more money which is what he wanted. i watched several b&w minstrel shows with my parents & neither the show nor my parents were racist. fact is, it was simply an early form of bgt.",blm,"blm crap! stop the bs. he was paid large sums of money & used this as a springboard to later fame & more money which is what he wanted. i watched several b&w minstrel shows with my parents & neither the show nor my parents were racist. fact is, it was simply an early form of bgt.",0,1,0.8413705825805664
171,0,fuck yes!!!!! :bat: work from home with no pants on continues through december 31st because my state does not know how to wear masks and my work is terrified of flu season!!! covid fucking sucks but wfh is amazing :black_heart: #nopantsdance #hermitlife #wearamask,covid-19,covid-19 fuck yes!!!!! :bat: work from home with no pants on continues through december 31st because my state does not know how to wear masks and my work is terrified of flu season!!! covid fucking sucks but wfh is amazing :black_heart: #nopantsdance #hermitlife #wearamask,1,0,2.885918140411377
