instance_id,offensiveness,cleaned_text,cleaned_domain,text_with_domain,predicted_label,true_label,cross_entropy
792,1,because the federal government we fucking pay for does nothing a government is supposed to do,covid-19,covid-19 because the federal government we fucking pay for does nothing a government is supposed to do,1,1,0.18734979629516602
1088,1,#2 that bill of $4200 was for about 6 hours in a hospital. those fuckers who do not want to wear masks need to ask themselves: how much cash do they have lying around to hand over to a hospital if they get covid. feeling strong because they have got 9/10,covid-19,covid-19 #2 that bill of $4200 was for about 6 hours in a hospital. those fuckers who do not want to wear masks need to ask themselves: how much cash do they have lying around to hand over to a hospital if they get covid. feeling strong because they have got 9/10,1,1,0.20544657111167908
219,0,"that is because of the four-year temper tantrum the left threw the night trump won the election. you have wasted so much time on defaming him instead of informing us, so now we see you for what you are. this will all blow up in your face, mark me.",elections2020,"elections2020 that is because of the four-year temper tantrum the left threw the night trump won the election. you have wasted so much time on defaming him instead of informing us, so now we see you for what you are. this will all blow up in your face, mark me.",0,0,0.39156225323677063
2316,0,those 20 seconds of silence! #canada #trumpdictatorship #trumpincitesviolence,blm,blm those 20 seconds of silence! #canada #trumpdictatorship #trumpincitesviolence,0,0,0.06994623690843582
930,0,ride and die?,covid-19,covid-19 ride and die?,0,0,0.05505956709384918
3720,1,"you piece of shit you do not need diversity for people to do their job. we judge by character not skin color, that is actually racist.",covid-19,"covid-19 you piece of shit you do not need diversity for people to do their job. we judge by character not skin color, that is actually racist.",1,1,0.18284538388252258
10750,0,neither did you,elections2020,elections2020 neither did you,0,0,0.07819072157144547
5664,0,whoa! so the anti-blm flag has replaced the american flag at trump rallies? guess kaepernick was right. it was never really about the flag.,elections2020,elections2020 whoa! so the anti-blm flag has replaced the american flag at trump rallies? guess kaepernick was right. it was never really about the flag.,0,0,0.06872276961803436
194,0,imagine siri being your favorite ally. :black_heart: #blacklivesmatter,blm,blm imagine siri being your favorite ally. :black_heart: #blacklivesmatter,0,0,0.04146845266222954
7393,1,that you suck.,elections2020,elections2020 that you suck.,1,1,0.31010693311691284
10143,0,please say it for the people in the back :index_pointing_up_medium-dark_skin_tone::hundred_points::raised_fist_medium-dark_skin_tone:,blm,blm please say it for the people in the back :index_pointing_up_medium-dark_skin_tone::hundred_points::raised_fist_medium-dark_skin_tone:,0,0,0.03672299161553383
1851,0,ever notice how a lot of trump supporters are ashamed to even show they face?,elections2020,elections2020 ever notice how a lot of trump supporters are ashamed to even show they face?,0,0,0.043598782271146774
5607,1,fuck europe,blm,blm fuck europe,1,1,0.21808546781539917
2393,0,"and yet, your white supporters burn down minority neighborhoods.",elections2020,"elections2020 and yet, your white supporters burn down minority neighborhoods.",0,0,0.14515799283981323
2213,0,protesters stood on guard as muslims prayed during a #blacklivesmatter rally in new york,blm,blm protesters stood on guard as muslims prayed during a #blacklivesmatter rally in new york,0,0,0.042203791439533234
2712,0,"tariffs, used by trump as revenge against xi for not coming up with ""dirt"", caused american farmers to commit suicide.",elections2020,"elections2020 tariffs, used by trump as revenge against xi for not coming up with ""dirt"", caused american farmers to commit suicide.",0,0,0.19043496251106262
841,0,"100% joey, george floyd was murdered by a democrat controlled police department serving a democrat mayor in a state with a democrat attorney general and a democrat governor #facts",blm,"blm 100% joey, george floyd was murdered by a democrat controlled police department serving a democrat mayor in a state with a democrat attorney general and a democrat governor #facts",0,0,0.06319063901901245
4974,0,‘the president is a lunatic’: viewers stunned as ‘utterly shameless’ trump proclaims it is ‘a great day’ for george floyd,blm,blm ‘the president is a lunatic’: viewers stunned as ‘utterly shameless’ trump proclaims it is ‘a great day’ for george floyd,0,0,0.23153047263622284
5336,0,"and yet the pope has stated that donald trump is not a christian of the two men, i will pick the one who is more christ like any day... and that would hands down be",elections2020,"elections2020 and yet the pope has stated that donald trump is not a christian of the two men, i will pick the one who is more christ like any day... and that would hands down be",0,0,0.0552760511636734
9371,0,this is how you handle racist bullies in tx!,elections2020,elections2020 this is how you handle racist bullies in tx!,0,0,0.26531535387039185
3167,1,look at this stupid asshole,blm,blm look at this stupid asshole,1,1,0.21869651973247528
