text,annotation task,number of annotations,annotations,annotators,lang,hard_label,split,soft_label.0,soft_label.1,other_info.domain
"<user> <user> 30 million unemployed , fool",offensiveness detection,5,"1,0,0,0,0","Ann150,Ann626,Ann85,Ann789,Ann283",en,0,test,0.8,0.2,Elections2020
. <user> <user> <user> <user> <user> <user> #WeDontBuyHate this is powerful. Watch,offensiveness detection,5,"0,0,0,0,0","Ann633,Ann158,Ann639,Ann448,Ann283",en,0,test,1.0,0.0,BLM
"If you watched the entire #GeorgeFloyd porno, you’ve unlocked your inner level 5 freak &amp; there’s no turning back for u...#youknowwhoyouare #dannysdailydose",offensiveness detection,5,"1,1,1,1,1","Ann535,Ann206,Ann229,Ann236,Ann408",en,1,test,0.0,1.0,BLM
<user> Stay away from children.,offensiveness detection,5,"0,0,1,1,0","Ann770,Ann538,Ann272,Ann170,Ann150",en,0,test,0.6,0.4,Elections2020
"<user> <user> No super-spreader accusations as people party in the streets from the MSM.   And just like that, COVID ends.  The left is a party of liers, racists, cheaters, looters, arsonist, rioters and hypocrites.",offensiveness detection,5,"1,0,1,1,1","Ann107,Ann313,Ann484,Ann283,Ann448",en,1,test,0.2,0.8,Covid-19
Trayvon Martin #georgezimmerman deserved the death penalty,offensiveness detection,5,"1,0,0,1,0","Ann448,Ann535,Ann480,Ann432,Ann670",en,0,test,0.6,0.4,BLM
<user> <user> <user> <user> <user> <user> <user> <user> Trump is in favor of what happened in Texas against Biden. The Republican Party as you knew it is gone. ANYONE WHO VOTED FOR TRUMP CAN NOW BE CONSIDERED A DOMESTIC TERRORIST!,offensiveness detection,5,"1,0,1,1,1","Ann492,Ann683,Ann71,Ann571,Ann631",en,1,test,0.2,0.8,Elections2020
<user> <user> That’s because he is not and ur the most corrupt and dumbest ever!!😂😂U loser!! #TrumpIsACoward #TrumpIsCompromised #TrumpIsBroke #TrumpIsPathetic #TrumpIsCorrupt <user> <user> <user> <user> #TrumpIsNotAmerica #TrumpIsNotWell <user> #TrumpIsARacist #TrumpLovesPutin,offensiveness detection,5,"1,1,1,1,1","Ann492,Ann494,Ann676,Ann206,Ann83",en,1,test,0.0,1.0,Elections2020
<user> <user> <user> Well kinda all over the news.  And idk how many felons that rob pregnant ladies at gun point get 3 funerals?Not really sure.still not getting how they can talk about how what happened to him was absolutely unacceptable w/o misleading ppl on who he was  <url>,offensiveness detection,5,"0,1,0,0,0","Ann535,Ann283,Ann480,Ann158,Ann229",en,0,test,0.8,0.2,BLM
"""You don’t want a family Christmas if it means people die, do you? DO YOU? You don’t want to kill Granny. You’re not that selfish are you? No. Good. Thank you for answering our totally objective poll.""",offensiveness detection,5,"0,1,0,0,1","Ann189,Ann771,Ann289,Ann187,Ann66",en,0,test,0.6,0.4,Covid-19
