instance_id,offensiveness,cleaned_text,cleaned_domain
21,0,total confirmed covid cases by county for ut 7-30-20: this and our covid series of visualizations cuts through the noise thanks to usafacts and a top team of data scientists. #covidvislualizations #coviddata #smcanalytics,covid-19
78,1,"the fact that a lot of supporters for #blacklivesmatter are from india shows that our society is changing, realising its own mistakes and trying to correct it. so yes your mockery is definitely not doing anything except denying a change that exists in indian society.",blm
164,0,what the frickity-frack?,blm
181,0,they should just call this chapter in the history books the price of white supremacy and have it just be the number of covid-19 deaths.,covid-19
184,0,"you do not care about american lives. all you cair about is furthering your infiltrator's agenda of sowing division, hatred, & anti-semitism, while cheating, lying, stealing, & spewing hateful rhetoric & propoganda. the american people see right through you, zealot. #oustilhanomar",covid-19
190,0,sickest i have ever been in early november. literally thought i was going to die.,covid-19
193,0,"derek, george floyd’s murderer only got arrested because of international pressure. this man has been murdering people for years! this arrest is not justice #blacklivesmatters",blm
198,0,"update: someone vandalized the sign i put up, along with someone else’s. if you still do not think racism is a canadian problem—wake up. it is in your town. it is your neighbours. #blacklivesmatter",blm
200,1,how about those incompetent democrat governors forcing covid-19 patients into nursing homes,covid-19
208,1,"i have had racist shit happen to me as a brown picnicker my entire childhood in scotland (even when it was just me, my mum, my little sister), as a teen in princes st gardens, edinburgh, as a student in liverpool and manchester",blm
265,0,"6,736,558 cases; 198,818 deaths, we know of. the us has 4% of the world's population & almost 22% of the world's covid deaths. and we know #traitortrump is cooking the books on the covid data. #trumpisamassmurderer #trumpknewvoteblue",covid-19
287,1,damn dummy lmao,covid-19
311,1,please for fuck's sake people stay at home apa susahnya sih diem di rumah yaelah do not be selfish for once,covid-19
337,0,even a god can get it:face_without_mouth:,covid-19
390,0,thank you #bullcitystrong,covid-19
409,1,everything is upside down in the sh*t stained reality of trump.,covid-19
426,1,"yeah, no matter the final totals, this is a national disgrace. we are the type of country we used to snicker at. thanks, maggots",covid-19
445,1,"so my aunt in law or whatever actually employed the cop who killed george floyd as a security guard, she said it did not surprise her he was a fucked up guy.",blm
464,0,if you take any advise from this fool then i question your judgment. what an embarrassment.,covid-19
508,1,george floyd had chinese virus. there is nothing democrats will not drag his name through be dragged through.,blm
510,0,7 you.s. stocks to buy on coronavirus weakness $aapl $nke $amd ...,covid-19
