instance_id,offensiveness,cleaned_text,cleaned_domain
7028,0,look at that crowd :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,elections2020
7191,0,"george floyd protests james miller quits defense science board, citing disagreement with the trump administration's actions against protestors in washington, d.c. learn more: #georgefloydprotest #georgefloydriot #blacklivesmatter #whitelivesmatter #us",blm
7898,1,"fucking pigs man. pepper spraying, tear gassing and throwing flash bangs at protestors who are within their right to stand there and chant",blm
5210,0,"not only that, he does not seem to understand that most people like dogs",elections2020
3884,1,"you sound real dumb mister ""chief""",blm
9810,0,i am from pakistan i pray you win election but i have a question will your policy on kashmir be duplicitous like donald trump,elections2020
843,0,i still cannot believe they killed george floyd. that guy did not do anything to anyone. never been arrested for anything. never went to jail. shot is ridiculous!,blm
3342,1,#coronavirus fuck i did not see that coming :rolling_on_the_floor_laughing::grinning_face_with_sweat:,covid-19
544,1,"so essentially his original base... the angry, uneducated, inbred racists.",blm
7546,0,stop promoting trudeau junior as anything but a complete failure who now needs to hide under trudeau's skirt while bankrupting canada for his marxist ideology...,covid-19
6483,0,it makes all leos look bad when younhave these knuckleheads out here planting bricks!,blm
9735,0,stop you hypocrite!,elections2020
8838,0,and just like that racism defeated the corona virus. sheesh,blm
4375,0,#defundthebbc #racists #blacklivesmatter #shamimabegum you can take our everything you will never take my mind or will you,blm
2336,0,posted by q. bernie bros said on fox earlier that q and qanons are white supremacists. what a joke.,blm
5738,0,"hi. smoker who had covid, immediately rested and am still coughing 7 weeks later. it is not the fucking common cold and your experience is not universal. my lungs burned for two weeks. burned. do not be smug, you were lucky.",covid-19
6513,1,now that is racism!!!!!,blm
933,0,i have seen it on a video as well as #joechina’s teleprompters in a reflection. please pay attention or we will lose our country to the globalization. i :red_heart: my :United_States::Statue_of_Liberty::Statue_of_Liberty::Statue_of_Liberty: to much to vote for the guy that sent our jobs to other countries while getting rich voting there way. :United_States::1st_place_medal:,elections2020
9337,1,shut up old man!,elections2020
1308,0,he was banned before covid,covid-19
7348,1,"so 47yrs in politics he did nothing.. oh yes he did, he sold you out to china, he pimped his son and took half of his booty.. he sold you out to fill his own pockets.",elections2020
3145,0,they killed that man for being homeless. they had the numbers. they had the control. they could have de-escalated the situation. they chose to murder him. for being poor and homeless.,blm
1756,1,"we all bleed the same fucking blood & who tf made ""white"" the correct way to be.. #blacklivesmatter forever bitch :black_heart::raised_fist_medium-dark_skin_tone::raised_fist_medium_skin_tone::raised_fist_dark_skin_tone:",blm
917,0,"can we just drag these traitors away? at what point do we say enough is enough? close down, de-fund whatever you have to do to get rid of the un.",blm
6060,0,exactly. who are these people and why do they have no self control?,covid-19
5433,1,keep smoking crack,elections2020
5962,0,is that for real????:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,elections2020
7897,0,"when it comes to #covid19, the trump administration cannot be trusted .. actually, they cannot be trusted on anything, which says a lot about the sad state of america under we need a real president",covid-19
8059,0,"""he is starting to remind me of that schoolyard come back that kids use: """"i know you are but what am i?"""" equally meaningless, equally unfounded,in fact, well, childish... ‘grossly incompetent’: trump dismisses obama over coronavirus criticism via",covid-19
4517,1,"""so.... the covid-19 bill is a joke. we have not come to the second wave yet (hell most states have not even left the first one yet), and they are more than happy to kill the poor so they can keep on getting their """"donations"""" from corporations? fuck no. #votebluetosaveamericans""",covid-19
